OBJECTID,AIRPORTID,FACILITY,MAPLABEL,CITY,COUNTY,FNCTNLCLSS,STATECLASS,FAASRVCLVL,FAASITENO,DISTRICT,F5010URL,SHAPE_Length,SHAPE_Area
87,C80,NEW COALINGA MUNICIPAL AIRPORT,NEW COALINGA MUNI,Coalinga,Fresno,Community,COMMUNITY,General Aviation,01419.13*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=C80,12420.1913934857,6156283.07111498
88,REI,REDLANDS MUNICIPAL AIRPORT,REDLANDS MUNI,Redlands,San Bernardino,Regional,REGIONAL-Business/Corporate,General Aviation,02092.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=REI,5449.42843517575,1055238.43473584
89,RHV,REID HILLVIEW AIRPORT,REID HILLVIEW,San Jose,Santa Clara,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,02203.*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=RHV,5138.56164918003,1013776.42940586
90,E16,SOUTH COUNTY AIRPORT,SOUTH COUNTY,San Martin,Santa Clara,Regional,REGIONAL,Reliever,02213.4*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=E16,6622.17256328932,1142215.0776922
91,O86,TRINITY CENTER/JAMES E. SWETT AIRPORT,TRINITY CENTER,Trinity Center,Trinity,Community,COMMUNITY-Recreation,General Aviation,02362.1*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=O86,4124.34571549506,394017.393852621
92,D83,BOONVILLE AIRPORT,BOONVILLE,Boonville,Mendocino,Community,COMMUNITY,General Aviation,01340.25*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=D83,2888.79300410404,152847.66093922
93,BWC,BRAWLEY MUNICIPAL AIRPORT,BRAWLEY MUNI,Brawley,Imperial,Community,COMMUNITY,General Aviation,01342.*A,11,http://www.gcr1.com/5010web/airport.cfm?Site=BWC,4720.64044466983,744630.836868871
94,DLO,DELANO MUNICIPAL AIRPORT,DELANO MUNI,Delano,Kern,Regional,REGIONAL,General Aviation,01497.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=DLO,8157.47789665864,2935149.16764483
95,D63,DINSMORE AIRPORT,DINSMORE,Dinsmore,Humboldt,Limited Use,LIMITED USE-Firefighting,General Aviation,01508.*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=D63,3227.67638145558,159106.170460069
96,EMT,EL MONTE AIRPORT,EL MONTE,El Monte,Los Angeles,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,01539.*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=EMT,5041.52129687438,635773.942572998
97,F34,FIREBAUGH AIRPORT,FIREBAUGH,Firebaugh,Fresno,Community,COMMUNITY-Agriculture,General Aviation,01570.41*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=F34,3467.68122160295,236096.154749497
98,F72,FRANKLIN FIELD AIRPORT,FRANKLIN FIELD,Franklin,Sacramento,Community,COMMUNITY-Agriculture,General Aviation,01588.*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=F72,8378.9440031255,3263059.75681394
99,F70,FRENCH VALLEY AIRPORT,FRENCH VALLEY,Murrieta/Temecula,Riverside,Regional,REGIONAL-Business/Corporate,General Aviation,01931.6*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=F70,10155.9455204621,1674955.11517906
100,FCH,FRESNO CHANDLER EXECUTIVE AIRPORT,FRESNO CHANDLER EXECUTIVE,Fresno,Fresno,Regional,REGIONAL-Business/Corporate,Reliever,01590.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=FCH,4833.08508275507,1060861.35151058
101,E36,GEORGETOWN AIRPORT,GEORGETOWN,Georgetown,El Dorado,Community,COMMUNITY,General Aviation,01608.7*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=E36,5558.60313929488,992265.793638251
102,DVO,GNOSS FIELD AIRPORT,GNOSS FIELD,Novato,Marin,Regional,REGIONAL-Business/Corporate,Reliever,01967.*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=DVO,6162.30404058391,806664.415053266
103,EKA,MURRAY FIELD AIRPORT,MURRAY FIELD,Eureka,Humboldt,Regional,REGIONAL,General Aviation,01560.*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=EKA,4228.45078226318,868061.811772745
